Epoch 1: binary_accuracy=0.7250 dice_coefficient=0.0254 iou_score=0.0129 loss=1.5775 val_binary_accuracy=0.0496 val_dice_coefficient=0.0250 val_iou_score=0.0126 val_loss=1.7492 learning_rate=0.0003 learning_rate=N/A
Epoch 2: binary_accuracy=0.9190 dice_coefficient=0.0535 iou_score=0.0275 loss=1.3389 val_binary_accuracy=0.0326 val_dice_coefficient=0.0250 val_iou_score=0.0127 val_loss=2.2662 learning_rate=0.0003 learning_rate=N/A
Epoch 3: binary_accuracy=0.9652 dice_coefficient=0.0432 iou_score=0.0221 loss=1.2325 val_binary_accuracy=0.0474 val_dice_coefficient=0.0251 val_iou_score=0.0127 val_loss=2.3958 learning_rate=0.0003 learning_rate=N/A
Epoch 4: binary_accuracy=0.9734 dice_coefficient=0.0375 iou_score=0.0191 loss=1.1953 val_binary_accuracy=0.9872 val_dice_coefficient=0.0247 val_iou_score=0.0125 val_loss=1.4412 learning_rate=0.0003 learning_rate=N/A
Epoch 5: binary_accuracy=0.9694 dice_coefficient=0.0453 iou_score=0.0232 loss=1.1856 val_binary_accuracy=0.9872 val_dice_coefficient=0.0246 val_iou_score=0.0125 val_loss=1.3894 learning_rate=0.0003 learning_rate=N/A
Epoch 6: binary_accuracy=0.9659 dice_coefficient=0.0513 iou_score=0.0263 loss=1.1737 val_binary_accuracy=0.9872 val_dice_coefficient=0.0245 val_iou_score=0.0124 val_loss=1.3377 learning_rate=0.0003 learning_rate=N/A
Epoch 7: binary_accuracy=0.9664 dice_coefficient=0.0520 iou_score=0.0267 loss=1.1645 val_binary_accuracy=0.9872 val_dice_coefficient=0.0243 val_iou_score=0.0123 val_loss=1.3023 learning_rate=0.0003 learning_rate=N/A
Epoch 8: binary_accuracy=0.9711 dice_coefficient=0.0456 iou_score=0.0234 loss=1.1560 val_binary_accuracy=0.9872 val_dice_coefficient=0.0242 val_iou_score=0.0123 val_loss=1.2741 learning_rate=0.0002 learning_rate=N/A
Epoch 9: binary_accuracy=0.9729 dice_coefficient=0.0435 iou_score=0.0223 loss=1.1521 val_binary_accuracy=0.9872 val_dice_coefficient=0.0242 val_iou_score=0.0122 val_loss=1.2581 learning_rate=0.0002 learning_rate=N/A
Epoch 10: binary_accuracy=0.9815 dice_coefficient=0.0307 iou_score=0.0156 loss=1.1418 val_binary_accuracy=0.9872 val_dice_coefficient=0.0241 val_iou_score=0.0122 val_loss=1.2367 learning_rate=0.0002 learning_rate=N/A
Epoch 11: binary_accuracy=0.9700 dice_coefficient=0.0466 iou_score=0.0239 loss=1.1498 val_binary_accuracy=0.9872 val_dice_coefficient=0.0240 val_iou_score=0.0122 val_loss=1.2244 learning_rate=0.0002 learning_rate=N/A
Epoch 12: binary_accuracy=0.9761 dice_coefficient=0.0373 iou_score=0.0190 loss=1.1461 val_binary_accuracy=0.9872 val_dice_coefficient=0.0239 val_iou_score=0.0121 val_loss=1.2097 learning_rate=0.0001 learning_rate=N/A
Epoch 13: binary_accuracy=0.9755 dice_coefficient=0.0382 iou_score=0.0195 loss=1.1459 val_binary_accuracy=0.9872 val_dice_coefficient=0.0238 val_iou_score=0.0121 val_loss=1.1947 learning_rate=0.0001 learning_rate=N/A
