Epoch 1: binary_accuracy=0.9260 dice_coefficient=0.0572 iou_score=0.0296 loss=1.2529 val_binary_accuracy=0.8887 val_dice_coefficient=0.0529 val_iou_score=0.0273 val_loss=1.9629 learning_rate=0.0003 learning_rate=N/A
Epoch 2: binary_accuracy=0.9646 dice_coefficient=0.0513 iou_score=0.0264 loss=1.1468 val_binary_accuracy=0.9676 val_dice_coefficient=0.0543 val_iou_score=0.0281 val_loss=1.1455 learning_rate=0.0003 learning_rate=N/A
Epoch 3: binary_accuracy=0.9650 dice_coefficient=0.0476 iou_score=0.0245 loss=1.1332 val_binary_accuracy=0.9676 val_dice_coefficient=0.0495 val_iou_score=0.0255 val_loss=1.1144 learning_rate=0.0003 learning_rate=N/A
Epoch 4: binary_accuracy=0.9650 dice_coefficient=0.0461 iou_score=0.0237 loss=1.1279 val_binary_accuracy=0.9676 val_dice_coefficient=0.0465 val_iou_score=0.0239 val_loss=1.1040 learning_rate=0.0003 learning_rate=N/A
Epoch 5: binary_accuracy=0.9651 dice_coefficient=0.0444 iou_score=0.0228 loss=1.1259 val_binary_accuracy=0.9676 val_dice_coefficient=0.0469 val_iou_score=0.0241 val_loss=1.0984 learning_rate=0.0003 learning_rate=N/A
Epoch 6: binary_accuracy=0.9651 dice_coefficient=0.0437 iou_score=0.0224 loss=1.1251 val_binary_accuracy=0.9676 val_dice_coefficient=0.0454 val_iou_score=0.0233 val_loss=1.1003 learning_rate=0.0003 learning_rate=N/A
Epoch 7: binary_accuracy=0.9651 dice_coefficient=0.0426 iou_score=0.0218 loss=1.1242 val_binary_accuracy=0.9676 val_dice_coefficient=0.0453 val_iou_score=0.0232 val_loss=1.0972 learning_rate=0.0002 learning_rate=N/A
Epoch 8: binary_accuracy=0.9651 dice_coefficient=0.0424 iou_score=0.0217 loss=1.1237 val_binary_accuracy=0.9676 val_dice_coefficient=0.0435 val_iou_score=0.0223 val_loss=1.0981 learning_rate=0.0002 learning_rate=N/A
Epoch 9: binary_accuracy=0.9651 dice_coefficient=0.0429 iou_score=0.0220 loss=1.1234 val_binary_accuracy=0.9676 val_dice_coefficient=0.0463 val_iou_score=0.0238 val_loss=1.0928 learning_rate=0.0002 learning_rate=N/A
Epoch 10: binary_accuracy=0.9652 dice_coefficient=0.0427 iou_score=0.0219 loss=1.1234 val_binary_accuracy=0.9676 val_dice_coefficient=0.0458 val_iou_score=0.0235 val_loss=1.0924 learning_rate=0.0002 learning_rate=N/A
Epoch 11: binary_accuracy=0.9651 dice_coefficient=0.0418 iou_score=0.0214 loss=1.1237 val_binary_accuracy=0.9676 val_dice_coefficient=0.0439 val_iou_score=0.0225 val_loss=1.0957 learning_rate=0.0001 learning_rate=N/A
Epoch 12: binary_accuracy=0.9652 dice_coefficient=0.0417 iou_score=0.0213 loss=1.1236 val_binary_accuracy=0.9676 val_dice_coefficient=0.0444 val_iou_score=0.0228 val_loss=1.0950 learning_rate=0.0001 learning_rate=N/A
