Epoch 1: train_loss=7.8247 val_loss=0.8710 edge_precision=0.3475 edge_recall=0.2809 edge_f1=0.3106 edge_iou=0.1839 edge_mae=0.4237 edge_rmse=0.5297 edge_spearman=0.0340 learning_rate=N/A
Epoch 2: train_loss=2.4716 val_loss=0.6876 edge_precision=0.3285 edge_recall=0.1170 edge_f1=0.1725 edge_iou=0.0944 edge_mae=0.4354 edge_rmse=0.4954 edge_spearman=0.0116 learning_rate=N/A
Epoch 3: train_loss=1.2280 val_loss=0.6847 edge_precision=0.3426 edge_recall=0.2900 edge_f1=0.3141 edge_iou=0.1863 edge_mae=0.4897 edge_rmse=0.4969 edge_spearman=0.0007 learning_rate=N/A
Epoch 4: train_loss=0.8924 val_loss=0.6646 edge_precision=1.0000 edge_recall=0.0006 edge_f1=0.0012 edge_iou=0.0006 edge_mae=0.4828 edge_rmse=0.4872 edge_spearman=-0.0550 learning_rate=N/A
Epoch 5: train_loss=0.7673 val_loss=0.6638 edge_precision=0.0000 edge_recall=0.0000 edge_f1=0.0000 edge_iou=0.0000 edge_mae=0.4834 edge_rmse=0.4866 edge_spearman=-0.0621 learning_rate=N/A
Epoch 6: train_loss=0.7108 val_loss=0.6553 edge_precision=0.0000 edge_recall=0.0000 edge_f1=0.0000 edge_iou=0.0000 edge_mae=0.4767 edge_rmse=0.4829 edge_spearman=-0.0454 learning_rate=N/A
Epoch 7: train_loss=0.6888 val_loss=0.6544 edge_precision=0.0000 edge_recall=0.0000 edge_f1=0.0000 edge_iou=0.0000 edge_mae=0.4763 edge_rmse=0.4824 edge_spearman=-0.0369 learning_rate=N/A
Epoch 8: train_loss=0.6713 val_loss=0.6508 edge_precision=0.0000 edge_recall=0.0000 edge_f1=0.0000 edge_iou=0.0000 edge_mae=0.4729 edge_rmse=0.4809 edge_spearman=-0.0313 learning_rate=N/A
Epoch 9: train_loss=0.6620 val_loss=0.6504 edge_precision=0.0000 edge_recall=0.0000 edge_f1=0.0000 edge_iou=0.0000 edge_mae=0.4731 edge_rmse=0.4806 edge_spearman=-0.0280 learning_rate=N/A
Epoch 10: train_loss=0.6536 val_loss=0.6471 edge_precision=0.0000 edge_recall=0.0000 edge_f1=0.0000 edge_iou=0.0000 edge_mae=0.4689 edge_rmse=0.4793 edge_spearman=-0.0261 learning_rate=N/A
Epoch 11: train_loss=0.6490 val_loss=0.6479 edge_precision=0.0000 edge_recall=0.0000 edge_f1=0.0000 edge_iou=0.0000 edge_mae=0.4707 edge_rmse=0.4795 edge_spearman=-0.0222 learning_rate=N/A
Epoch 12: train_loss=0.6462 val_loss=0.6489 edge_precision=0.0000 edge_recall=0.0000 edge_f1=0.0000 edge_iou=0.0000 edge_mae=0.4720 edge_rmse=0.4799 edge_spearman=-0.0207 learning_rate=N/A
Epoch 13: train_loss=0.6428 val_loss=0.6425 edge_precision=0.0000 edge_recall=0.0000 edge_f1=0.0000 edge_iou=0.0000 edge_mae=0.4636 edge_rmse=0.4774 edge_spearman=-0.0199 learning_rate=N/A
Epoch 14: train_loss=0.6394 val_loss=0.6450 edge_precision=0.0000 edge_recall=0.0000 edge_f1=0.0000 edge_iou=0.0000 edge_mae=0.4674 edge_rmse=0.4783 edge_spearman=-0.0143 learning_rate=N/A
Epoch 15: train_loss=0.6379 val_loss=0.6462 edge_precision=0.0000 edge_recall=0.0000 edge_f1=0.0000 edge_iou=0.0000 edge_mae=0.4696 edge_rmse=0.4787 edge_spearman=-0.0150 learning_rate=N/A
Epoch 16: train_loss=0.6365 val_loss=0.6408 edge_precision=0.0000 edge_recall=0.0000 edge_f1=0.0000 edge_iou=0.0000 edge_mae=0.4616 edge_rmse=0.4767 edge_spearman=-0.0156 learning_rate=N/A
Epoch 17: train_loss=0.6329 val_loss=0.6386 edge_precision=0.0000 edge_recall=0.0000 edge_f1=0.0000 edge_iou=0.0000 edge_mae=0.4528 edge_rmse=0.4763 edge_spearman=-0.0130 learning_rate=N/A
Epoch 18: train_loss=0.6330 val_loss=0.6399 edge_precision=0.0000 edge_recall=0.0000 edge_f1=0.0000 edge_iou=0.0000 edge_mae=0.4586 edge_rmse=0.4765 edge_spearman=-0.0086 learning_rate=N/A
Epoch 19: train_loss=0.6302 val_loss=0.6393 edge_precision=0.0000 edge_recall=0.0000 edge_f1=0.0000 edge_iou=0.0000 edge_mae=0.4598 edge_rmse=0.4761 edge_spearman=-0.0037 learning_rate=N/A
Epoch 20: train_loss=0.6292 val_loss=0.6373 edge_precision=0.0000 edge_recall=0.0000 edge_f1=0.0000 edge_iou=0.0000 edge_mae=0.4519 edge_rmse=0.4758 edge_spearman=-0.0083 learning_rate=N/A
